site_name,datalogger_ID,mean_temp,mean_daily_min,mean_daily_max,abs_min,abs_max,mean_daily_sd,mean_daily_range,GDD_0,GDD_2,GDD_5,GDD_10,THD_0,THD_2,THD_5,THD_10
Bojanovická alej (Hodonínská Doubrava),94217437,11.443118154058183,5.930505233494349,17.926731078904965,-14.5,36.5625,3.6331666301648156,11.99622584541063,14429.639205673604,12234.370325465266,9288.464727,5113.779989,1138,1049,921,729
Bojanovická alej (Hodonínská Doubrava),94217439,11.89554088400612,5.159420289855063,22.861513687600656,-14.6875,50.125,5.041191012174418,17.702093397745582,15028.41998,12859.718158143947,9952.628965435608,5810.136068,1136,1038,915,728
Bojanovická alej (Hodonínská Doubrava),94217440,11.486501549466553,5.718448068,19.80756843800319,-14.75,44,3.976388088047746,14.089120370370372,14509.007059854122,12329.490783812449,9404.803935,5247.280242598687,1135,1042,920,725
Bojanovická alej (Hodonínská Doubrava),94217443,11.667907419987921,4.905042270531388,22.748540660225444,-14.6875,48.125,5.018563608250036,17.843498389694048,14765.536458333327,12607.885416666677,9715.119792,5589.552083,1135,1030,916,726
Bojanovická alej (Hodonínská Doubrava),94217444,11.583730316465243,4.996880032206121,22.41993760064412,-14.5625,49.75,4.942208603497264,17.423057568437994,14643.963105133145,12477.465937499985,9577.512813,5449.364583333341,1134,1037,913,728
Bojanovická alej (Hodonínská Doubrava),94217456,11.404455179817496,5.763134057971025,18.007196054750423,-14.5,38.8125,3.7650961796721907,12.244061996779385,14413.89322916666,12236.22916666666,9313.429687500007,5155.517578125001,1135,1042,919,731
Bojanovická alej (Hodonínská Doubrava),94217457,11.570581222889691,5.520765966046897,19.871917946645123,-14.75,42.875,4.241308602629206,14.351151980598212,14551.571342506222,12387.957410214553,9486.304415,5352.423556047882,1130,1036,912,726
Bojanovická alej (Hodonínská Doubrava),94217460,11.510624617494289,5.953175566343054,19.723907766990305,-81.9375,45.75,3.7492196503821056,13.770732200647245,14598.484891806269,12407.624214722935,9472.919270833345,5302.473958,1138,1044,920,734
Drbákov,94206238,12.009193644362423,6.602615532734285,21.973844672657272,-12.125,54.875,4.376173527875084,15.371229139922967,9474.057682291676,8098.728906250006,6232.900130208328,3739.874088541666,718,664,577,431
Drbákov,94234715,12.569998999686497,6.597088159588179,22.905083655083644,-13.3125,48.6875,4.817001226511576,16.307995495495494,9865.340394631401,8467.928285256414,6548.279196714746,3939.5610977564065,723,675,598,444
Hovoranská cesta (Hodonínská Doubrava),94217422,11.717964172957158,5.060115665584428,23.628804788961013,-13.9375,52.8125,5.016972854138308,18.568689123376622,14687.90360587489,12540.327071564328,9667.997644481002,5567.984623647656,1125,1024,905,718
Hovoranská cesta (Hodonínská Doubrava),94217424,11.807509290582631,6.448711444805184,18.454393262987026,-13.625,36.625,3.622158056868891,12.00568181818182,14734.123581414453,12541.143763706124,9590.613164747796,5411.943893914477,1142,1051,920,738
Hovoranská cesta (Hodonínská Doubrava),94217426,12.069506097793694,6.027546672077916,22.650263798701317,-14.5,47.375,4.407661382,16.62271712662338,15083.043621856841,12900.12435,9962.105719,5768.701422275638,1131,1048,920,747
Hovoranská cesta (Hodonínská Doubrava),94217427,10.96884089218074,5.431260146103885,19.541548295454565,-13.125,47.875,3.9267990654355605,14.11028814935066,13753.882161458334,11605.083333333327,8741.526041666673,4702.695313,1128,1021,900,700
Hovoranská cesta (Hodonínská Doubrava),94217428,11.892641131654804,6.662489853896115,20.395799512987033,-13.5625,52,3.6362694585640067,13.733309659090908,14837.58478565706,12642.220853365396,9682.091947115374,5480.579577323717,1140,1051,923,742
Hovoranská cesta (Hodonínská Doubrava),94217429,11.823847450756533,6.850446429,18.14316152597401,-13.4375,39.5,3.329554350352779,11.292715097402594,14742.260658290386,12538.611569748713,9569.652344,5364.175130208336,1144,1060,927,743
Hovoranská cesta (Hodonínská Doubrava),94217430,11.943840237814316,5.371702516233765,22.443435470779217,-14.25,46.9375,4.802526544172208,17.071732954545457,14947.001277153915,12779.706355278904,9874.687313988084,5727.656715029762,1126,1035,912,729
Hovoranská cesta (Hodonínská Doubrava),94217436,11.098014504795636,5.468648538961051,19.346844561688314,-14,43.375,3.9745492925663153,13.878196022727279,13937.272750116548,11800.65395,8943.211243,4900.7672330418145,1115,1021,902,704
Karlštejn - Koda (Vysoká stráň),94217411,11.190597503725762,6.807519104803484,16.91969159388647,-13.1875,36.8125,2.944231085606157,10.112172489082965,10460.530672787807,8839.419921875005,6615.748697916666,3589.073567708334,828,788,697,521
Karlštejn - Koda (Vysoká stráň),94217412,11.175503624621246,6.502661026200882,18.180608624454138,-14.5,46.625,3.175258021125006,11.67794759825328,10461.367439944728,8846.557942708328,6643.134765625004,3632.0501302083335,829,782,686,521
Karlštejn - Koda (Vysoká stráň),94217423,10.966984738296128,6.700941593886469,16.280977074235807,-13.5,35.75,2.833912126348104,9.58003548,10272.452030695924,8655.871301529256,6445.231327570924,3446.7567181959216,826,783,692,515
Karlštejn - Koda (Vysoká stráň),94217431,11.274222036146607,6.603097707423593,17.525518558951976,-14,40.3125,3.132639334916659,10.922420851528383,10537.176968443624,8915.046109068631,6694.119676776964,3658.482306985292,833,788,692,526
Karlštejn - Koda (Vysoká stráň),94217432,11.159410684329503,6.242247007616985,19.061887921653973,-14.3125,49.125,3.5409063762453563,12.819640914036999,10497.23930431547,8877.58631,6670.116257440471,3662.829148065477,833,780,688,517
Karlštejn - Koda (Vysoká stráň),94217433,11.114272665790105,6.767886289445037,16.63411317,-13.6875,36.0625,2.9298350731569367,9.866226877040255,10431.971657986118,8803.409809,6572.931944444441,3537.3030381944454,834,789,699,519
Karlštejn - Koda (Vysoká stráň),94217434,11.068052296805106,6.838343308,16.633569096844383,-13.125,36.625,2.856263109456759,9.795225788900973,10381.913107638888,8753.119487847229,6524.458029513894,3499.8232638888853,833,788,697,519
